iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,10,0.14785951375961304
1000,-1.0,2.0,10,0.04884704202413559
1500,-1.0,2.0,8,0.056490134447813034
2000,-1.0,2.0,8,0.044638920575380325
2500,-0.875,2.125,8,0.027385104447603226
3000,-1.0,2.0,9,0.021369896829128265
3500,-1.0,2.0,9,0.007159343454986811
4000,-1.0,2.0,11,0.02475660666823387
4500,-1.0,2.0,10,0.006612720899283886
5000,-1.0,2.0,8,0.01265853550285101
5500,-1.0,2.0,8,0.01632576808333397
6000,-1.0,2.0,8,0.01793625019490719
6500,-0.8888888888888888,2.111111111111111,9,0.009535660967230797
7000,-0.875,2.125,8,0.0020791320130228996
7500,-1.0,2.0,10,0.018109949305653572
8000,-1.0,2.0,8,0.0007088643033057451
8500,-1.0,2.0,12,0.011092148721218109
9000,-1.0,2.0,8,0.02601393684744835
9500,-0.8888888888888888,2.111111111111111,9,0.011487701907753944
10000,-1.0,2.0,8,0.0180969201028347
10500,-1.0,2.0,9,0.01062687672674656
11000,-1.0,2.0,10,0.0013213701313361526
11500,-1.0,2.0,9,0.009740035980939865
12000,-1.0,2.0,8,0.0015096173156052828
12500,-0.875,2.125,8,0.008769523352384567
13000,-1.0,2.0,9,0.017149966210126877
13500,-1.0,2.0,9,0.00355334859341383
14000,-1.0,2.0,9,0.0017474995693191886
14500,-1.0,2.0,8,0.008332699537277222
15000,-1.0,2.0,9,0.009018592536449432
15500,-1.0,2.0,9,0.016098881140351295
16000,-0.8888888888888888,2.111111111111111,9,0.017467625439167023
16500,-1.0,2.0,8,0.0013936327304691076
17000,-1.0,2.0,9,0.008818330243229866
17500,-0.875,2.125,8,0.0006783693097531796
18000,-1.0,2.0,9,0.0005397789645940065
18500,-1.0,2.0,8,0.0005385644035413861
19000,-1.0,2.0,10,0.0241866298019886
19500,-1.0,2.0,8,0.017248230054974556
20000,-1.0,2.0,8,0.0021348102018237114
20500,-1.0,2.0,8,0.009279714897274971
21000,-1.0,2.0,9,0.009126240387558937
21500,-1.0,2.0,8,0.009375832974910736
22000,-1.0,2.0,8,0.0011587725020945072
22500,-1.0,2.0,9,0.0006176803726702929
23000,-1.0,2.0,8,0.0008487355662509799
23500,-1.0,2.0,11,0.00854075700044632
24000,-0.8888888888888888,2.111111111111111,9,0.025103669613599777
24500,-1.0,2.0,10,0.01739548146724701
25000,-1.0,2.0,8,0.0016926478128880262
25500,-1.0,2.0,9,0.0012520491145551205
26000,-1.0,2.0,9,0.0011215541744604707
26500,-1.0,2.0,8,0.023585403338074684
27000,-1.0,2.0,9,0.010066693648695946
27500,-1.0,2.0,9,0.017901316285133362
28000,-1.0,2.0,8,0.0020482386462390423
28500,-1.0,2.0,8,0.009184002876281738
29000,-1.0,2.0,8,0.009179830551147461
29500,-1.0,2.0,8,0.00944442953914404
30000,-1.0,2.0,11,0.009522315114736557
30500,-0.8181818181818182,2.1818181818181817,11,0.0007660018745809793
31000,-1.0,2.0,9,0.008874710649251938
31500,-1.0,2.0,8,0.0009578817989677191
32000,-1.0,2.0,10,0.0007714084349572659
32500,-1.0,2.0,11,0.00035541935358196497
33000,-1.0,2.0,9,0.0003748691233340651
33500,-0.8888888888888888,2.111111111111111,9,0.016396645456552505
34000,-1.0,2.0,8,0.016851283609867096
34500,-0.9090909090909091,2.090909090909091,11,0.009276822209358215
35000,-1.0,2.0,8,0.0009524445631541312
35500,-0.8888888888888888,2.111111111111111,9,0.0012001707218587399
36000,-1.0,2.0,10,0.0011402929667383432
36500,-0.9,2.1,10,0.0004163713601883501
37000,-1.0,2.0,8,0.016443386673927307
37500,-1.0,2.0,11,0.0007861689082346857
38000,-0.875,2.125,8,0.000512491911649704
38500,-1.0,2.0,9,0.008597994223237038
39000,-1.0,2.0,8,0.0004351397801656276
39500,-1.0,2.0,8,0.008835503831505775
40000,-0.75,2.25,8,0.008679492399096489
40500,-1.0,2.0,9,0.024955881759524345
41000,-1.0,2.0,9,0.017099441960453987
41500,-0.9166666666666666,2.0833333333333335,12,0.009646555408835411
42000,-1.0,2.0,8,0.0010235535446554422
42500,-0.875,2.125,8,0.0009289846057072282
43000,-1.0,2.0,10,0.008809945546090603
43500,-0.8888888888888888,2.111111111111111,9,0.00894331093877554
44000,-1.0,2.0,9,0.0013890165137127042
44500,-1.0,2.0,9,0.0005261313635855913
45000,-1.0,2.0,8,0.0007991749444045126
45500,-1.0,2.0,8,0.016037840396165848
46000,-1.0,2.0,10,0.01669657975435257
46500,-1.0,2.0,9,0.009580682963132858
47000,-1.0,2.0,13,0.0009356440277770162
47500,-0.7777777777777778,2.2222222222222223,9,0.024594038724899292
48000,-1.0,2.0,10,0.002538895234465599
48500,-0.875,2.125,8,0.001330246333964169
49000,-1.0,2.0,9,0.0008931549964472651
49500,-1.0,2.0,8,0.00870533101260662
50000,-1.0,2.0,8,0.008476282469928265
50500,-1.0,2.0,10,0.017042960971593857
51000,-1.0,2.0,10,0.02424905076622963
51500,-1.0,2.0,9,0.01778581365942955
52000,-0.75,2.25,8,0.009522336535155773
52500,-1.0,2.0,9,0.009035643190145493
53000,-1.0,2.0,9,0.009155314415693283
53500,-1.0,2.0,8,0.0008070049807429314
54000,-1.0,2.0,9,0.0006939281011000276
54500,-1.0,2.0,8,0.000651672831736505
55000,-0.8888888888888888,2.111111111111111,9,0.0005432004691101611
55500,-1.0,2.0,10,0.0004955442855134606
56000,-1.0,2.0,10,0.00823267363011837
56500,-1.0,2.0,8,0.0006429009372368455
57000,-1.0,2.0,9,0.01600564457476139
57500,-1.0,2.0,11,0.0006677857600152493
58000,-1.0,2.0,11,0.000617762329056859
58500,-0.9090909090909091,2.090909090909091,11,0.03134150058031082
59000,-0.875,2.125,8,0.00872187688946724
59500,-1.0,2.0,11,0.01700621098279953
60000,-1.0,2.0,11,0.0009204481029883027
60500,-1.0,2.0,8,0.0008198698051273823
61000,-1.0,2.0,9,0.0010220708791166544
61500,-1.0,2.0,11,0.008923064917325974
62000,-1.0,2.0,8,0.0006519979215227067
62500,-1.0,2.0,8,0.024499325081706047
63000,-0.9,2.1,10,0.009128824807703495
63500,-1.0,2.0,11,0.0007466784445568919
64000,-1.0,2.0,9,0.008769654668867588
64500,-1.0,2.0,9,0.0006307177827693522
65000,-0.875,2.125,8,0.01630457118153572
65500,-0.8888888888888888,2.111111111111111,9,0.00880538858473301
66000,-1.0,2.0,10,0.0005534820957109332
66500,-1.0,2.0,8,0.0005593276582658291
67000,-1.0,2.0,8,0.008220798335969448
67500,-1.0,2.0,8,0.0005670752143487334
68000,-0.875,2.125,8,0.008441608399152756
68500,-1.0,2.0,8,0.016491945832967758
69000,-1.0,2.0,8,0.016371332108974457
69500,-1.0,2.0,9,0.008650753647089005
70000,-1.0,2.0,10,0.0013961057411506772
70500,-0.875,2.125,8,0.009159645065665245
71000,-0.9,2.1,10,0.0010485653765499592
71500,-1.0,2.0,10,0.0012110830284655094
72000,-1.0,2.0,8,0.0009987049270421267
72500,-1.0,2.0,9,0.008528612554073334
73000,-1.0,2.0,8,0.008694743737578392
73500,-1.0,2.0,8,0.0008955580415204167
74000,-1.0,2.0,8,0.0006768768653273582
74500,-1.0,2.0,11,0.016047287732362747
75000,-0.8888888888888888,2.111111111111111,9,0.0009318990632891655
75500,-1.0,2.0,12,0.016664035618305206
76000,-1.0,2.0,11,0.008502136915922165
76500,-1.0,2.0,10,0.0009054173133336008
77000,-0.875,2.125,8,0.0013859234750270844
77500,-1.0,2.0,14,0.01683763973414898
78000,-1.0,2.0,10,0.0012659020721912384
78500,-1.0,2.0,8,0.017806097865104675
79000,-1.0,2.0,10,0.009423844516277313
79500,-1.0,2.0,9,0.00116446684114635
80000,-0.7777777777777778,2.2222222222222223,9,0.016778910532593727
80500,-1.0,2.0,10,0.017012784257531166
81000,-1.0,2.0,8,0.0008161038276739419
81500,-0.8888888888888888,2.111111111111111,9,0.0170179083943367
82000,-1.0,2.0,10,0.009024095721542835
82500,-1.0,2.0,10,0.0009840033017098904
83000,-1.0,2.0,9,0.016976669430732727
83500,-1.0,2.0,9,0.0008079727413132787
84000,-1.0,2.0,8,0.016724292188882828
84500,-1.0,2.0,9,0.0018223305232822895
85000,-1.0,2.0,10,0.0012984222266823053
85500,-0.8888888888888888,2.111111111111111,9,0.0010062723886221647
86000,-1.0,2.0,9,0.008683199994266033
86500,-1.0,2.0,9,0.000669472326990217
87000,-1.0,2.0,9,0.0008187820785678923
87500,-1.0,2.0,10,0.0006124004139564931
88000,-1.0,2.0,10,0.008421221747994423
88500,-0.8181818181818182,2.1818181818181817,11,0.0003994500439148396
89000,-1.0,2.0,8,0.016308140009641647
89500,-1.0,2.0,10,0.0008532484644092619
90000,-1.0,2.0,8,0.008483553305268288
90500,-1.0,2.0,9,0.0005993723752908409
91000,-1.0,2.0,9,0.008328070864081383
91500,-0.9090909090909091,2.090909090909091,11,0.008940024301409721
92000,-0.875,2.125,8,0.0008122017607092857
92500,-0.875,2.125,8,0.008473617024719715
93000,-1.0,2.0,9,0.001073823543265462
93500,-1.0,2.0,8,0.008665179833769798
94000,-1.0,2.0,9,0.0165818203240633
94500,-0.875,2.125,8,0.0008575933170504868
95000,-1.0,2.0,9,0.0009171359706670046
95500,-1.0,2.0,8,0.00879545509815216
96000,-1.0,2.0,8,0.02441909909248352
96500,-1.0,2.0,8,0.008745583705604076
97000,-1.0,2.0,8,0.01712694950401783
97500,-1.0,2.0,9,0.0007273968076333404
98000,-1.0,2.0,8,0.01662592962384224
98500,-1.0,2.0,10,0.00909845158457756
99000,-1.0,2.0,8,0.0005979990819469094
99500,-1.0,2.0,8,0.024305813014507294
100000,-1.0,2.0,9,0.01640167087316513
100500,-1.0,2.0,8,0.009550541639328003
101000,-1.0,2.0,11,0.00870627723634243
101500,-1.0,2.0,10,0.0012098525185137987
102000,-1.0,2.0,11,0.0007319647702388465
102500,-1.0,2.0,10,0.0012724881526082754
103000,-1.0,2.0,9,0.0007215040386654437
103500,-0.8888888888888888,2.111111111111111,9,0.02484172210097313
104000,-1.0,2.0,9,0.008895756676793098
104500,-1.0,2.0,8,0.0009440332651138306
105000,-1.0,2.0,10,0.0008797439513728023
105500,-0.8888888888888888,2.111111111111111,9,0.0005149241187609732
106000,-1.0,2.0,9,0.0007859679753892124
106500,-1.0,2.0,9,0.008430702611804008
107000,-0.875,2.125,8,0.0005622198805212975
107500,-1.0,2.0,11,0.01659446582198143
108000,-1.0,2.0,8,0.008994490839540958
108500,-1.0,2.0,8,0.016202297061681747
109000,-0.8888888888888888,2.111111111111111,9,0.0013134757755324244
109500,-1.0,2.0,8,0.008828962221741676
110000,-1.0,2.0,8,0.0007845398504287004
110500,-0.9,2.1,10,0.0006750838365405798
111000,-1.0,2.0,8,0.0005073053180240095
111500,-1.0,2.0,11,0.0007352981483563781
112000,-0.9,2.1,10,0.024879485368728638
112500,-1.0,2.0,9,0.02443220466375351
113000,-1.0,2.0,8,0.0006332393968477845
113500,-1.0,2.0,8,0.008665795437991619
114000,-1.0,2.0,8,0.024420732632279396
114500,-1.0,2.0,8,0.0009490711381658912
115000,-0.875,2.125,8,0.0009139892645180225
115500,-0.8888888888888888,2.111111111111111,9,0.0006806526216678321
116000,-1.0,2.0,8,0.02447625622153282
116500,-1.0,2.0,8,0.008820735849440098
117000,-1.0,2.0,8,0.009377981536090374
117500,-0.875,2.125,8,0.008812434040009975
118000,-1.0,2.0,10,0.0006479209987446666
118500,-1.0,2.0,8,0.0005151910008862615
119000,-1.0,2.0,10,0.0087775569409132
119500,-1.0,2.0,8,0.008636441081762314
120000,-1.0,2.0,10,0.01683169975876808
120500,-1.0,2.0,8,0.0011953236535191536
121000,-1.0,2.0,8,0.0012027071788907051
121500,-1.0,2.0,8,0.001158855389803648
122000,-0.875,2.125,8,0.0008659028680995107
122500,-1.0,2.0,10,0.0004654268850572407
123000,-1.0,2.0,8,0.0003960292087867856
123500,-1.0,2.0,8,0.0005390042206272483
124000,-1.0,2.0,9,0.000804806244559586
124500,-1.0,2.0,8,0.008643567562103271
125000,-1.0,2.0,8,0.0008223752956837416
125500,-1.0,2.0,8,0.0007385931676253676
126000,-1.0,2.0,8,0.00044619065010920167
126500,-1.0,2.0,9,0.0004223081632517278
127000,-1.0,2.0,10,0.008331211283802986
127500,-1.0,2.0,10,0.0005509097827598453
128000,-1.0,2.0,9,0.00850208941847086
128500,-1.0,2.0,8,0.0006114888237789273
129000,-1.0,2.0,9,0.0006605662638321519
129500,-1.0,2.0,8,0.024516379460692406
130000,-1.0,2.0,8,0.0007182009285315871
130500,-1.0,2.0,8,0.00864535290747881
131000,-1.0,2.0,8,0.016902025789022446
131500,-0.8888888888888888,2.111111111111111,9,0.016902152448892593
132000,-0.875,2.125,8,0.016672935336828232
132500,-1.0,2.0,8,0.0008879667147994041
133000,-1.0,2.0,10,0.0010219247778877616
133500,-1.0,2.0,9,0.0008621017914265394
134000,-1.0,2.0,8,0.016869302839040756
134500,-1.0,2.0,11,0.0008880544337444007
135000,-0.7272727272727273,2.272727272727273,11,0.008842162787914276
135500,-1.0,2.0,8,0.00894726812839508
136000,-1.0,2.0,9,0.008680657483637333
136500,-1.0,2.0,9,0.008610733784735203
137000,-1.0,2.0,10,0.008601486682891846
137500,-0.875,2.125,8,0.0009576110751368105
138000,-1.0,2.0,8,0.008858224377036095
138500,-1.0,2.0,8,0.008580282330513
139000,-1.0,2.0,9,0.016489265486598015
139500,-1.0,2.0,9,0.009049219079315662
140000,-1.0,2.0,11,0.008641127496957779
140500,-1.0,2.0,9,0.0007364323828369379
141000,-0.9,2.1,10,0.00869501382112503
141500,-1.0,2.0,9,0.0006137544405646622
142000,-0.8888888888888888,2.111111111111111,9,0.0006974132265895605
142500,-1.0,2.0,8,0.016403060406446457
143000,-0.9,2.1,10,0.008908335119485855
143500,-1.0,2.0,10,0.0009939121082425117
144000,-1.0,2.0,8,0.0005842299433425069
144500,-1.0,2.0,8,0.00036303483648225665
145000,-1.0,2.0,8,0.0005248789675533772
145500,-1.0,2.0,8,0.016042739152908325
146000,-1.0,2.0,9,0.008983566425740719
146500,-1.0,2.0,8,0.008877496235072613
147000,-1.0,2.0,11,0.008815433830022812
147500,-0.875,2.125,8,0.016405731439590454
148000,-1.0,2.0,9,0.01645687222480774
148500,-1.0,2.0,8,0.0014036542270332575
149000,-1.0,2.0,9,0.0007675341912545264
149500,-1.0,2.0,10,0.0006928038201294839
150000,-1.0,2.0,9,0.00038558163214474916
150500,-1.0,2.0,8,0.016287194564938545
151000,-1.0,2.0,8,0.02435937151312828
151500,-1.0,2.0,8,0.016797859221696854
152000,-1.0,2.0,8,0.001130690099671483
152500,-1.0,2.0,10,0.0011331355199217796
153000,-0.875,2.125,8,0.009021599777042866
153500,-1.0,2.0,9,0.0007909044506959617
154000,-0.875,2.125,8,0.0007567123393528163
154500,-1.0,2.0,8,0.008631279692053795
155000,-1.0,2.0,8,0.001005049329251051
155500,-1.0,2.0,10,0.0007272255606949329
156000,-0.875,2.125,8,0.024553537368774414
156500,-1.0,2.0,8,0.017093364149332047
157000,-1.0,2.0,8,0.0006509349914267659
157500,-1.0,2.0,10,0.008630575612187386
158000,-1.0,2.0,9,0.0006708518485538661
158500,-0.875,2.125,8,0.0006156201125122607
159000,-1.0,2.0,10,0.0006737460498698056
159500,-1.0,2.0,9,0.0085312994197011
160000,-1.0,2.0,9,0.0005841419915668666
160500,-1.0,2.0,8,0.016525907441973686
161000,-1.0,2.0,10,0.008565320633351803
161500,-1.0,2.0,8,0.008925072848796844
162000,-0.8888888888888888,2.111111111111111,9,0.008989451453089714
162500,-1.0,2.0,9,0.008422362618148327
163000,-1.0,2.0,9,0.00043138753972016275
163500,-1.0,2.0,8,0.016378918662667274
164000,-1.0,2.0,10,0.0008929871837608516
164500,-1.0,2.0,10,0.008465789258480072
165000,-0.875,2.125,8,0.0008425295236520469
165500,-0.8333333333333334,2.1666666666666665,12,0.001004061079584062
166000,-0.9090909090909091,2.090909090909091,11,0.009096781723201275
166500,-0.8888888888888888,2.111111111111111,9,0.0012893440434709191
167000,-1.0,2.0,9,0.0006969540263526142
167500,-1.0,2.0,9,0.009011814370751381
168000,-1.0,2.0,8,0.00849149189889431
168500,-1.0,2.0,8,0.009025589562952518
169000,-0.8888888888888888,2.111111111111111,9,0.00083234190242365
169500,-1.0,2.0,9,0.008401939645409584
170000,-1.0,2.0,9,0.00048176635755226016
170500,-1.0,2.0,10,0.008559983223676682
171000,-1.0,2.0,8,0.008522730320692062
171500,-1.0,2.0,10,0.0006511886604130268
172000,-1.0,2.0,8,0.0005040949326939881
172500,-1.0,2.0,8,0.016503743827342987
173000,-1.0,2.0,8,0.016972878947854042
173500,-1.0,2.0,9,0.01656389608979225
174000,-0.875,2.125,8,0.008701801300048828
174500,-1.0,2.0,8,0.0006345934234559536
175000,-0.875,2.125,8,0.024773595854640007
175500,-1.0,2.0,9,0.0090784328058362
176000,-1.0,2.0,10,0.008904697373509407
176500,-1.0,2.0,8,0.008813967928290367
177000,-1.0,2.0,9,0.008767768740653992
177500,-0.9,2.1,10,0.0009787275921553373
178000,-1.0,2.0,10,0.000604828936047852
178500,-1.0,2.0,10,0.008719351142644882
179000,-1.0,2.0,8,0.016621336340904236
179500,-1.0,2.0,9,0.008649983443319798
180000,-1.0,2.0,9,0.008994478732347488
180500,-1.0,2.0,8,0.0007715821266174316
181000,-1.0,2.0,9,0.008584092371165752
181500,-0.9,2.1,10,0.000544761074706912
182000,-1.0,2.0,9,0.0008473126799799502
182500,-0.8888888888888888,2.111111111111111,9,0.0011624908074736595
183000,-1.0,2.0,8,0.0008878314401954412
183500,-1.0,2.0,9,0.025037331506609917
184000,-1.0,2.0,9,0.00899356696754694
184500,-1.0,2.0,10,0.0006509060622192919
185000,-1.0,2.0,8,0.008513860404491425
185500,-1.0,2.0,8,0.0005888582672923803
186000,-1.0,2.0,8,0.008878709748387337
186500,-0.875,2.125,8,0.008623355999588966
187000,-1.0,2.0,8,0.016794200986623764
187500,-1.0,2.0,8,0.008690666407346725
188000,-1.0,2.0,9,0.0004538418143056333
188500,-0.9090909090909091,2.090909090909091,11,0.008693091571331024
189000,-1.0,2.0,8,0.0006536385044455528
189500,-1.0,2.0,8,0.00863663200289011
190000,-1.0,2.0,10,0.0166951734572649
190500,-0.8888888888888888,2.111111111111111,9,0.00869259424507618
191000,-1.0,2.0,9,0.016790442168712616
191500,-1.0,2.0,9,0.02488652616739273
192000,-1.0,2.0,10,0.0015400855336338282
192500,-1.0,2.0,8,0.017389778047800064
193000,-1.0,2.0,10,0.0010480685159564018
193500,-0.8888888888888888,2.111111111111111,9,0.01681962050497532
194000,-1.0,2.0,10,0.0007760132430121303
194500,-1.0,2.0,8,0.02490362897515297
195000,-1.0,2.0,8,0.009067587554454803
195500,-1.0,2.0,9,0.008855883032083511
196000,-1.0,2.0,8,0.0007613874622620642
196500,-1.0,2.0,9,0.0006538440356962383
197000,-1.0,2.0,10,0.008643679320812225
197500,-1.0,2.0,11,0.008586745709180832
198000,-1.0,2.0,8,0.016422200947999954
198500,-1.0,2.0,8,0.008657705038785934
199000,-0.9,2.1,10,0.008838166482746601
199500,-1.0,2.0,12,0.0007417143206112087
200000,-1.0,2.0,10,0.0010061587672680616
